The coffee tasted bitter, but the pastry was delicious.	{"entities": [[0, 0, "DATE"]]}
The restaurant has a beautiful view of the ocean from the terrace.	{"entities": [[0, 0, "DATE"]]}
Just last week, I started a new project at work. It’s pretty exciting! But I’m definitely ready for the weekend.	{"entities": [[5, 14, "DATE"], [104, 111, "DATE"]]}
The plane was invented in 1903, 30 years after the birth of its creator, and two days later happened the first flight to Europe.	{"entities": [[23, 30, "DATE"], [32, 46, "DATE"], [77, 91, "DATE"]]}
My last holiday was two years ago, but I’m planning to take another one this summer.	{"entities": [[20, 33, "DATE"], [72, 83, "DATE"]]}
The package will arrive by the end of the week, just in time for the weekend.	{"entities": [[24, 46, "DATE"], [65, 76, "DATE"]]}
She likes to cook Italian food.	{"entities": [[0, 0, "DATE"]]}
Our anniversary is on the 25th of August, and we plan to celebrate it with a weekend getaway two weeks after.	{"entities": [[26, 40, "DATE"], [77, 84, "DATE"], [93, 108, "DATE"]]}
She’ll be in Paris next week, arriving on the 3rd of June and leaving on the 8th.	{"entities": [[19, 28, "DATE"], [39, 57, "DATE"], [70, 80, "DATE"]]}
I will have the test done in the blink of an eye	{"entities": [[26, 48, "DATE"]]}
The dog chased the ball across the yard.	{"entities": [[0, 0, "DATE"]]}
His favorite hobby is playing chess, though he hasn’t had time to play recently.	{"entities": [[0, 0, "DATE"]]}
Tomorrow is my sister’s birthday, and we’re throwing a big party at 6 PM.	{"entities": [[0, 8, "DATE"], [65, 72, "DATE"]]}
The flowers in the garden bloomed beautifully after watering them.	{"entities": [[0, 0, "DATE"]]}
I enjoy walking in the park, but when sad I prefer staying in.	{"entities": [[0, 0, "DATE"]]}
The plane departs at 12:24 and the check-in is mandatory an hour before departure since the airline has to assign seats.	{"entities": [[18, 26, "DATE"], [57, 71, "DATE"]]}
We’re meeting up for dinner tomorrow at 7:00 PM, and I’ll be there for about an hour before I leave for a concert.	{"entities": [[28, 47, "DATE"], [67, 84, "DATE"]]}
Today is the day I start going to the gym, I'll be there at 12:00AM.	{"entities": [[0, 5, "DATE"], [57, 67, "DATE"]]}
The room was filled with the smell of fresh coffee.	{"entities": [[0, 0, "DATE"]]}
