Te escribiré mañana a las 6 menos 5.	{"entities": [[13, 35, "TEMP_EXP"]]}
Su perfume huele floral.	{"entities": []}
Visitamos a la familia en Navidad del año 2021.	{"entities": [[23, 46, "TEMP_EXP"]]}
El teléfono tiene un diseño elegante.	{"entities": []}
El postre se ve delicioso.	{"entities": []}
El actor dio un monólogo emotivo.	{"entities": []}
Tuvimos nuestra última reunión hace unas 3 semanas.	{"entities": [[31, 50, "TEMP_EXP"]]}
Hablemos dentro de dos días a mediodía.	{"entities": [[9, 38, "TEMP_EXP"]]}
El envase es ecológico.	{"entities": []}
Él entregó el formulario esta mañana a las 8:05.	{"entities": [[25, 47, "TEMP_EXP"]]}
Sus zapatos chirriaban por el piso.	{"entities": []}
Justo antes del almuerzo, vi tu correo.	{"entities": [[0, 24, "TEMP_EXP"]]}
Las vacaciones comienzan a mediados de diciembre.	{"entities": [[25, 48, "TEMP_EXP"]]}
Te devolveré la llamada en 5 horas.	{"entities": [[24, 34, "TEMP_EXP"]]}
Ella salió de la oficina justo ahora.	{"entities": [[25, 36, "TEMP_EXP"]]}
Salieron de la ciudad temprano esta mañana.	{"entities": [[22, 42, "TEMP_EXP"]]}
Publicaremos el blog el segundo martes después del Día de San Valentín, a las 3 PM.	{"entities": [[21, 82, "TEMP_EXP"]]}
Ella nació en una fría noche de diciembre.	{"entities": [[23, 41, "TEMP_EXP"]]}
Los zapatos quedan perfectamente.	{"entities": []}
La ceremonia está programada para el día 50 del año dentro de 5 años.	{"entities": [[34, 68, "TEMP_EXP"]]}
El científico realizó un experimento cuidadoso.	{"entities": []}
Ese programa fue famoso a principios de los 2000.	{"entities": [[24, 48, "TEMP_EXP"]]}
El viernes pasado por la noche organizamos una fiesta sorpresa.	{"entities": [[0, 30, "TEMP_EXP"]]}
Lanzaremos el parche a la medianoche después del último domingo de este mes.	{"entities": [[21, 75, "TEMP_EXP"]]}
Ese restaurante sirve pasta deliciosa.	{"entities": []}
Los audífonos tienen cancelación activa de ruido.	{"entities": []}
Comenzaremos la integración el último lunes de marzo a las 7 de la mañana.	{"entities": [[28, 73, "TEMP_EXP"]]}
Las cortinas bloquean completamente la luz del sol.	{"entities": []}
La biblioteca cierra en 40 minutos.	{"entities": [[21, 34, "TEMP_EXP"]]}
El lente ofrece zoom óptico de 10x.	{"entities": []}
El seminario comienza el tercer miércoles después de las vacaciones escolares, a las 2:15 PM.	{"entities": [[22, 92, "TEMP_EXP"]]}
Envía tu disponibilidad antes de las 7 AM del último jueves de este trimestre.	{"entities": [[24, 77, "TEMP_EXP"]]}
En la primera semana de octubre, lanzaremos la actualización.	{"entities": [[0, 31, "TEMP_EXP"]]}
La sesión de capacitación está programada para las 10 AM el próximo jueves.	{"entities": [[47, 74, "TEMP_EXP"]]}
Nos pondremos al día dos días después de que termine el taller.	{"entities": [[21, 62, "TEMP_EXP"]]}
Vamos de excursión este domingo.	{"entities": [[19, 31, "TEMP_EXP"]]}
Este pastel huele celestial.	{"entities": []}
Su voz es melodiosa.	{"entities": []}
Esta clase continuará durante este semestre.	{"entities": [[22, 43, "TEMP_EXP"]]}
El evento terminó hace solo unos minutos.	{"entities": [[18, 40, "TEMP_EXP"]]}
Entrega tu opinión antes de las 5 PM el próximo miércoles.	{"entities": [[19, 57, "TEMP_EXP"]]}
Se comprometieron en Nochebuena.	{"entities": [[18, 31, "TEMP_EXP"]]}
Reunámonos a las 8 AM el lunes dentro de tres semanas.	{"entities": [[11, 53, "TEMP_EXP"]]}
El control remoto tiene botones que brillan en la oscuridad.	{"entities": []}
Vamos a salir el primer fin de semana de octubre.	{"entities": [[14, 48, "TEMP_EXP"]]}
La alfombra es lavable a máquina.	{"entities": []}
