She graduated from college in 2010, and a year later she moved to New York to start her career.	She graduated from college in 2010	a year later she moved to New York to start her career	related
He read the article and later wrote a response to it.	He read the article	later wrote a response to it	related
He submitted the report, which he had written over the weekend.	He submitted the report	he had written over the weekend	related
The Berlin Wall fell in 1989, and soon after, Germany was reunified.	The Berlin Wall fell in 1989	and soon after, Germany was reunified	related
She finished her shift at the hospital and then went to the gym.	She finished her shift at the hospital	then went to the gym	related
He woke up early and made breakfast before the meeting started.	He woke up early	made breakfast before the meeting started	related
The United States declared independence in 1776, and the Constitution was ratified 11 years later.	The United States declared independence in 1776	the Constitution was ratified 11 years later	related
The French Revolution began in 1789, leading to the execution of Louis XVI in 1793.	The French Revolution began in 1789	the execution of Louis XVI in 1793	not-related
World War I ended in 1918, and shortly after, the League of Nations was established.	World War I ended in 1918	the League of Nations was established	related
After the fall of the Berlin Wall in 1989, Germany was officially reunified in 1990.	the fall of the Berlin Wall in 1989	Germany was officially reunified in 1990	not-related
Nelson Mandela was released from prison in 1990 and was elected president four years later.	Nelson Mandela was released from prison in 1990	elected president four years later	related
In 2001, the attacks on the World Trade Center occurred, leading to the U.S. invasion of Afghanistan.	In 2001 the attacks on the World Trade Center occurred	leading to the U.S. invasion of Afghanistan	related
The Civil Rights Act was passed in 1964, and the Voting Rights Act followed in 1965.	The Civil Rights Act was passed in 1964	the Voting Rights Act followed in 1965	related
She enrolled in the university in 2005, and three years later she completed her degree.	She enrolled in the university in 2005	three years later she completed her degree	related
The war began in 1939, and Germany invaded France in 1940.	The war began in 1939	Germany invaded France in 1940	not-related
He published his first book, and shortly afterward, he was invited to speak at a conference.	He published his first book	shortly afterward, he was invited to speak at a conference	related
The company was founded in 1998, and the first product launch happened in 2001.	The company was founded in 1998	the first product launch happened in 2001	not-related
She took a deep breath and then started speaking slowly.	She took a deep breath	then started speaking slowly	related
The Constitution was signed in 1787, and the Bill of Rights was ratified in 1791.	The Constitution was signed in 1787	the Bill of Rights was ratified in 1791	not-related
The judge entered the courtroom, and after a few moments, the trial began.	The judge entered the courtroom	after a few moments, the trial began	related
The Renaissance began in the 14th century and spread across Europe in the 15th and 16th centuries.	The Renaissance began in the 14th century	spread across Europe in the 15th and 16th centuries	not-related
He pressed the button, and moments later, the lights turned off.	He pressed the button	moments later, the lights turned off	related
The Declaration of Independence was signed in 1776, and the Articles of Confederation were adopted in 1781.	The Declaration of Independence was signed in 1776	the Articles of Confederation were adopted in 1781	not-related
The Industrial Revolution began in the late 18th century, and electricity was introduced into factories in the 19th century.	The Industrial Revolution began in the late 18th century	electricity was introduced into factories in the 19th century	not-related
The United Nations was established in 1945, and the Universal Declaration of Human Rights was adopted in 1948.	The United Nations was established in 1945	the Universal Declaration of Human Rights was adopted in 1948	not-related
We’re meeting next week, and two days later we have the exam.	We’re meeting next week	two days later we have the exam	related
We'll see each other on Monday, and the final project is due on Friday.	We'll see each other on Monday	the final project is due on Friday	not-related
We're having dinner this Saturday, and in August we’re traveling together.	We're having dinner this Saturday	in August we’re traveling together	not-related
Tom called me in the morning, and in the evening I got an email from the professor.	Tom called me in the morning	in the evening I got an email from the professor	not-related
I'll send you the document now, and we can talk about the details tonight.	I'll send you the document now	we can talk about the details tonight	related
The team will meet tomorrow, and the birthday party is on Saturday.	The team will meet tomorrow	the birthday party is on Saturday	not-related
We’re meeting at the library at noon, and I have a tutoring session at 3pm.	We’re meeting at the library at noon	I have a tutoring session at 3pm	not-related
We’ll review the slides on Wednesday, and the next day we’ll do the rehearsal.	We’ll review the slides on Wednesday	the next day we’ll do the rehearsal	related
He messaged me this morning, and the deadline was already posted last night.	He messaged me this morning	the deadline was already posted last night	not-related
You’ll get the agenda today, and the meeting starts tomorrow at 9am.	You’ll get the agenda today	the meeting starts tomorrow at 9am	not-related
I submitted the form at noon, and a few hours later I got the confirmation email.	I submitted the form at noon	a few hours later I got the confirmation email	related
We’ll finish editing the report tonight, and on Monday we’ll print the final version.	We’ll finish editing the report tonight	on Monday we’ll print the final version	related
We’re having the kickoff call tomorrow, and next week the project officially begins.	We’re having the kickoff call tomorrow	next week the project officially begins	related
We’re meeting next week, and two days later we have the exam.	We’re meeting next week	two days later we have the exam	related
Sarah texted me yesterday afternoon, and I replied this morning.	Sarah texted me yesterday afternoon	I replied this morning	related
Tom messaged me this morning, and the deadline was already posted yesterday.	Tom messaged me this morning	the deadline was already posted yesterday	not-related
She sent the invite last week, and the event is on Saturday.	She sent the invite last week	the event is on Saturday	not-related
We agreed to meet at 2pm, and twenty minutes later he showed up.	We agreed to meet at 2pm	twenty minutes later he showed up	related
We submitted the proposal yesterday, and today the client replied.	We submitted the proposal yesterday	today the client replied	related
He dropped a message in the morning, and I answered by lunchtime.	He dropped a message in the morning	I answered by lunchtime	related
The call ended at 5pm, and ten minutes later we had the final draft.	The call ended at 5pm	ten minutes later we had the final draft	related
We picked a date on Tuesday, and that night she made the booking.	We picked a date on Tuesday	that night she made the booking	related
The invitation was sent this morning, and the webinar is next Wednesday.	The invitation was sent this morning	the webinar is next Wednesday	related
Our training starts next week, and the feedback survey is due in two weeks.	Our training starts next week	the feedback survey is due in two weeks	not-related
They had a meeting yesterday, and the project launch is scheduled for July.	They had a meeting yesterday	the project launch is scheduled for July	not-related
We talked on Monday, and she sent the report on Thursday.	We talked on Monday	she sent the report on Thursday	not-related
I joined the team in May, and the retreat is in August.	I joined the team in May	the retreat is in August	not-related
The reminder was posted this morning, and the deadline is next Friday.	The reminder was posted this morning	the deadline is next Friday	related
He emailed us last night, and the invoice is due in three days.	He emailed us last night	the invoice is due in three days	related
The team met on Thursday, and the budget review is on Monday.	The team met on Thursday	the budget review is on Monday	related
We finished the group call at 4pm, and half an hour later I wrote the summary.	We finished the group call at 4pm	half an hour later I wrote the summary	related
She posted the schedule this morning, and two hours later it was updated again.	She posted the schedule this morning	two hours later it was updated again	related
He sent the final slides at 10am, and shortly after, we uploaded them to the site.	He sent the final slides at 10am	shortly after, we uploaded them to the site	related
We had our catch-up on Tuesday, and by Wednesday everyone had received the notes.	We had our catch-up on Tuesday	by Wednesday everyone had received the notes	related
The coordinator created the group chat yesterday, and this morning I introduced myself.	The coordinator created the group chat yesterday	this morning I introduced myself	not-related
He scheduled the meeting for Monday, and the invitation arrived last night.	He scheduled the meeting for Monday	the invitation arrived last night	not-related
The last planning session was in April, and the project begins in June.	The last planning session was in April	the project begins in June	not-related
We spoke during the event, and the final results were published two days later.	We spoke during the event	the final results were published two days later	not-related
They confirmed attendance this morning, and by afternoon the room was reserved.	They confirmed attendance this morning	by afternoon the room was reserved	related
We picked the venue on Friday, and two days later we signed the contract.	We picked the venue on Friday	two days later we signed the contract	related
They messaged us on Monday, and the reply came in on Thursday.	They messaged us on Monday	the reply came in on Thursday	not-related
The schedule was finalized on Tuesday, and it starts being applied next week.	The schedule was finalized on Tuesday	it starts being applied next week	related
She emailed the documents last night, and the feedback session is on Friday.	She emailed the documents last night	the feedback session is on Friday	not-related
We finished reviewing the plan yesterday, and tomorrow we'll present it to the client.	We finished reviewing the plan yesterday	tomorrow we'll present it to the client	not-related
The Treaty of Paris was signed in 1783, officially ending the American Revolutionary War.	The Treaty of Paris was signed in 1783	officially ending the American Revolutionary War	related
Napoleon crowned himself emperor in 1804, and eleven years later he was defeated at Waterloo.	Napoleon crowned himself emperor in 1804	eleven years later he was defeated at Waterloo	related
The atomic bomb was dropped on Hiroshima in August 1945, and three days later, another was dropped on Nagasaki.	The atomic bomb was dropped on Hiroshima in August 1945	three days later, another was dropped on Nagasaki	related
The Soviet Union launched Sputnik in 1957, and the U.S. responded by creating NASA in 1958.	The Soviet Union launched Sputnik in 1957	the U.S. responded by creating NASA in 1958	not-related
The Berlin Wall was erected in 1961, and it was torn down in 1989.	The Berlin Wall was erected in 1961	it was torn down in 1989	not-related
World War I began in 1914, and the Treaty of Versailles was signed in 1919.	World War I began in 1914	the Treaty of Versailles was signed in 1919	not-related
The Roman Republic fell in 27 BC, and Augustus became the first emperor.	The Roman Republic fell in 27 BC	Augustus became the first emperor	related
The printing press was invented around 1440, and the Protestant Reformation began in 1517.	The printing press was invented around 1440	the Protestant Reformation began in 1517	not-related
The Great Fire of London occurred in 1666, and within days the city began to rebuild.	The Great Fire of London occurred in 1666	within days the city began to rebuild	related
The U.S. entered World War II in 1941, and D-Day took place in 1944.	The U.S. entered World War II in 1941	D-Day took place in 1944	not-related
Julius Caesar was assassinated in 44 BC, and shortly after, civil war erupted.	Julius Caesar was assassinated in 44 BC	shortly after, civil war erupted	related
In 1986, the Chernobyl disaster occurred, and days later nearby towns were evacuated.	the Chernobyl disaster occurred	days later nearby towns were evacuated	related
The Renaissance began in Italy in the 14th century, and the Enlightenment emerged in the 17th century.	The Renaissance began in Italy in the 14th century	the Enlightenment emerged in the 17th century	not-related
The Cuban Missile Crisis happened in October 1962, and was resolved after thirteen tense days.	The Cuban Missile Crisis happened in October 1962	was resolved after thirteen tense days	related
"Martin Luther King Jr. delivered his ""I Have a Dream"" speech in 1963, and he was assassinated in 1968."	"Martin Luther King Jr. delivered his ""I Have a Dream"" speech in 1963"	he was assassinated in 1968	not-related
World War II ended in 1945, and the Nuremberg Trials began soon after.	World War II ended in 1945	the Nuremberg Trials began soon after	related
The French Revolution started in 1789, and Napoleon rose to power in 1799.	The French Revolution started in 1789	Napoleon rose to power in 1799	not-related
The U.S. Constitution was ratified in 1788, and the Bill of Rights was added in 1791.	The U.S. Constitution was ratified in 1788	the Bill of Rights was added in 1791	not-related
The Great Depression began in 1929, and recovery programs started under the New Deal in 1933.	The Great Depression began in 1929	recovery programs started under the New Deal in 1933	not-related
Christopher Columbus arrived in the Americas in 1492, and Hernán Cortés landed in Mexico in 1519.	Christopher Columbus arrived in the Americas in 1492	Hernán Cortés landed in Mexico in 1519	not-related
The Indian Independence Act was passed in 1947, and just days later India and Pakistan were created.	The Indian Independence Act was passed in 1947	just days later India and Pakistan were created	related
The United Nations was formed in 1945, and the Universal Declaration of Human Rights was adopted in 1948.	The United Nations was formed in 1945	the Universal Declaration of Human Rights was adopted in 1948	not-related
In 1969, Neil Armstrong walked on the Moon, and three years later, the last Apollo mission returned.	Neil Armstrong walked on the Moon	three years later, the last Apollo mission returned	related
The Treaty of Versailles was signed in 1919, and the League of Nations was formed the same year.	The Treaty of Versailles was signed in 1919	the League of Nations was formed the same year	related
