The flu season is winding down, and it has killed 105 children so far - about the average toll.	{"entities": [[0, 14, "TEMP_EXP"]]}
The season started about a month earlier than usual, sparking concerns it might turn into the worst in a decade. It ended up being very hard on the elderly, but was moderately severe overall, according to the Centers for Disease Control and PrTEMP_EXPion.	{"entities": [[19, 40, "TEMP_EXP"]]}
Six of the pediatric deaths were reported in the last week, and it's possible there will be more, said the CDC's Dr. Michael Jhung said Friday.	{"entities": [[42, 58, "TEMP_EXP"], [131, 142, "TEMP_EXP"]]}
Roughly 100 children die in an average flu season. One exception was the swine flu pandemic of 2009-2010, when 348 children died.	{"entities": [[95, 104, "TEMP_EXP"]]}
The CDC recommends that all children ages 6 months and older be vaccinated against flu each season, though only about half get a flu shot or nasal spray.	{"entities": []}
All but four of the children who died were old enough to be vaccinated, but 90 percent of them did not get vaccinated, CDC officials said.	{"entities": []}
This year's vaccine was considered effective in children, though it didn't work very well in older people. And the dominant flu strain early in the season was one that tends to cause more severe illness.	{"entities": [[0, 9, "TEMP_EXP"], [135, 154, "TEMP_EXP"]]}
The government only does a national flu death count for children. But it does track hospitalization rates for people 65 and older, and those statistics have been grim.	{"entities": []}
In that group, 177 out of every 100,000 were hospitalized with flu-related illness in the past several months. That's more than 2 1/2 times higher than any other recent season.	{"entities": [[83, 110, "TEMP_EXP"]]}
This flu season started in early December, a month earlier than usual, and peaked by the end of year. Since then, flu reports have been dropping off throughout the country.	{"entities": [[24, 41, "TEMP_EXP"], [82, 101, "TEMP_EXP"]]}
"We appear to be getting close to the end of flu season," Jhung said.	{"entities": [[34, 55, "TEMP_EXP"]]}
Barack Obama would make a great stand-up comic, not because he's the funniest president ever but because he uses jokes the same way many of us comedians do: as a weapon.	{"entities": []}
Traditionally, the (intentionally) funny lines by our presidents have had one thing in common: They were self-deprecating. Sure, some presidents have used jokes to take jabs at their opponents, but not to the extent of Obama.	{"entities": []}
During his tenure, he has increasingly unleashed biting comedic barbs against his critics and political adversaries. These jokes are intended to do more than simply entertain you. They have an agenda.	{"entities": [[0, 17, "TEMP_EXP"]]}
Obama's humor is often delivered the way a comedian dealing with a heckler would do it. He tries to undermine his opponents with it and get the crowd -- in this case the public -- on his side. I can assure you that having a crowd laugh at your critic/heckler is not only effective in dominating them, it's also very satisfying.	{"entities": []}
A New York man who was accused of faking his death last summer pleaded guilty to a conspiracy charge Thursday, Nassau County District Attorney Kathleen Rice announced.	{"entities": [[51, 62, "TEMP_EXP"], [101, 109, "TEMP_EXP"]]}
Raymond Roth, 48, of Massapequa, New York, was first reported missing in the waters off Jones Beach late last July by his 22-year-old son, Jonathan Roth. Several days into an extensive search involving multiple agencies, New York State Park Police said, authorities learned the missing man was in South Carolina, where he had been pulled over for speeding.	{"entities": [[100, 114, "TEMP_EXP"], [154, 219, "TEMP_EXP"]]}
The day before Raymond Roth was pulled over, his wife, Evana, showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death. Raymond Roth wanted his wife and son to collect at least $410,000 in life insurance benefits while he started a new life in Florida, Rice said.	{"entities": [[0, 43, "TEMP_EXP"]]}
State police arrested both men in early August on charges of insurance fraud, conspiracy and filing a false report. Raymond Roth on Thursday agreed to plead guilty to the conspiracy charge in exchange for a sentence of 90 days in jail and five years' probation, the district attorney's office said. He also must pay restitution for the cost of the search -- $27,445 to the U.S. Coast Guard and $9,109 to the Nassau County Police Department.	{"entities": [[34, 46, "TEMP_EXP"], [129, 140, "TEMP_EXP"], [219, 249, "TEMP_EXP"]]}
Evana Roth told CNN in August she thought her husband devised the plan after he was fired from his job in July. Her attorney, Lenard Leeds, said she had been unaware of the ruse before she uncovered the e-mail correspondence.	{"entities": [[20, 29, "TEMP_EXP"], [103, 111, "TEMP_EXP"]]}
"There needs to be a way for me to find out how things are going. Call me Sunday night at 8 PM at the resort," Raymond Roth wrote in an e-mail to his son the day before the son reported him missing.	{"entities": [[74, 94, "TEMP_EXP"], [154, 197, "TEMP_EXP"]]}
