She texted me 36 minutes to 5.	{"entities": [[14, 29, "TEMP_EXP"]]}
I’ll text you tomorrow at 18:59.	{"entities": [[14, 31, "TEMP_EXP"]]}
Her perfume smells floral.	{"entities": []}
We visited family on Christmas of the year 2021.	{"entities": [[18, 47, "TEMP_EXP"]]}
The phone has a sleek design.	{"entities": []}
The dessert looks decadent.	{"entities": []}
The actor delivered an emotional monologue.	{"entities": []}
We had our last meeting around 3 weeks ago.	{"entities": [[24, 42, "TEMP_EXP"]]}
Let’s touch base two days from now at noon.	{"entities": [[17, 42, "TEMP_EXP"]]}
The packaging is eco-friendly.	{"entities": []}
He submitted the form this morning at 8:05.	{"entities": [[22, 42, "TEMP_EXP"]]}
His shoes squeaked across the floor.	{"entities": []}
Just before lunch, I saw your email.	{"entities": [[0, 17, "TEMP_EXP"]]}
The holiday break starts in mid-December.	{"entities": [[25, 40, "TEMP_EXP"]]}
I’ll call you back in 5 hours.	{"entities": [[19, 29, "TEMP_EXP"]]}
She left the office just now.	{"entities": [[20, 28, "TEMP_EXP"]]}
They left town early this morning.	{"entities": [[15, 33, "TEMP_EXP"]]}
We’ll publish the blog on the second Tuesday after Valentine’s Day, at 3 PM.	{"entities": [[30, 75, "TEMP_EXP"]]}
She was born on a cold December night.	{"entities": [[23, 37, "TEMP_EXP"]]}
The shoes fit perfectly.	{"entities": []}
The ceremony is scheduled for the 50th day of the year in 5 years.	{"entities": [[34, 65, "TEMP_EXP"]]}
The scientist conducted a careful experiment.	{"entities": []}
That TV show was big in the early 2000s.	{"entities": [[21, 39, "TEMP_EXP"]]}
Last Friday night, we hosted a surprise party.	{"entities": [[0, 17, "TEMP_EXP"]]}
Let’s roll out the patch at midnight following the last Sunday of this month.	{"entities": [[51, 76, "TEMP_EXP"]]}
That restaurant serves delicious pasta.	{"entities": []}
The headphones offer active noise cancellation.	{"entities": []}
We'll start onboarding on the last Monday in March at 7 in the morning.	{"entities": [[30, 70, "TEMP_EXP"]]}
The curtains block out sunlight completely.	{"entities": []}
The library closes in 40 minutes.	{"entities": [[19, 32, "TEMP_EXP"]]}
The lens offers 10x optical zoom.	{"entities": []}
The webinar begins on the third Wednesday after the school holidays, at 2:15 PM.	{"entities": [[26, 79, "TEMP_EXP"]]}
Send your availability before 7 AM on the last Thursday of this quarter.	{"entities": [[23, 71, "TEMP_EXP"]]}
During the first week of October, we’ll release the update.	{"entities": [[0, 32, "TEMP_EXP"]]}
The training session is scheduled for 10 AM next Thursday.	{"entities": [[34, 57, "TEMP_EXP"]]}
We'll catch up two days after the workshop ends.	{"entities": [[15, 47, "TEMP_EXP"]]}
The clock struck 15:57 when the lights went out.	{"entities": [[17, 22, "TEMP_EXP"]]}
Let’s go hiking this Sunday.	{"entities": [[16, 27, "TEMP_EXP"]]}
This cake smells heavenly.	{"entities": []}
Her voice is melodious.	{"entities": []}
This class will continue through this semester.	{"entities": [[33, 46, "TEMP_EXP"]]}
The event ended just a few minutes ago.	{"entities": [[21, 38, "TEMP_EXP"]]}
Submit your review by 5 PM next Wednesday.	{"entities": [[19, 41, "TEMP_EXP"]]}
They got engaged on Christmas Eve.	{"entities": [[17, 33, "TEMP_EXP"]]}
Let’s meet at 8 AM on the Monday three weeks from now.	{"entities": [[26, 53, "TEMP_EXP"]]}
The remote has glow-in-the-dark buttons.	{"entities": []}
We’re heading out the first weekend in October.	{"entities": [[18, 46, "TEMP_EXP"]]}
The mat is machine-washable.	{"entities": []}
The lights flickered at exactly midnight.	{"entities": [[21, 40, "TEMP_EXP"]]}
Next Tuesday afternoon, we’re scheduled for a site visit.	{"entities": [[0, 22, "TEMP_EXP"]]}
We'll reconnect one week after the product goes live.	{"entities": [[16, 52, "TEMP_EXP"]]}
The beach has crystal-clear water.	{"entities": []}
The file is stored in the archives from June 2021.	{"entities": [[35, 49, "TEMP_EXP"]]}
The coffee tastes bitter without sugar.	{"entities": []}
The final draft is due the evening of the first business day after the holiday.	{"entities": [[23, 78, "TEMP_EXP"]]}
Our next trip is planned for August 2025.	{"entities": [[29, 40, "TEMP_EXP"]]}
A few days before my birthday, she gave me the news.	{"entities": [[0, 29, "TEMP_EXP"]]}
We’ll review your application on the first Monday after the upcoming long weekend, at 10:30 AM.	{"entities": [[37, 94, "TEMP_EXP"]]}
The ticket has a unique barcode.	{"entities": []}
Three hours from now, we’ll have a clear answer.	{"entities": [[0, 20, "TEMP_EXP"]]}
The photographer captured a stunning shot.	{"entities": []}
The boots have a rugged sole.	{"entities": []}
The jacket’s zipper is stuck.	{"entities": []}
We’re planning a picnic around the fifth of May.	{"entities": [[24, 47, "TEMP_EXP"]]}
The invoice is due on the 15th.	{"entities": [[19, 30, "TEMP_EXP"]]}
The project wraps up in the first week of September.	{"entities": [[28, 51, "TEMP_EXP"]]}
My shift ends at 10 tonight.	{"entities": [[14, 27, "TEMP_EXP"]]}
It snowed heavily last January.	{"entities": [[18, 30, "TEMP_EXP"]]}
The faucet dispenses water smoothly.	{"entities": []}
I last saw them in early 2020.	{"entities": [[16, 29, "TEMP_EXP"]]}
The smartphone features a high-resolution screen.	{"entities": []}
This jacket offers great insulation.	{"entities": []}
Her earrings dangled as she turned.	{"entities": []}
The jacket is wind-resistant.	{"entities": []}
The glove fits tightly.	{"entities": []}
We'll release the patch on the third Friday of July.	{"entities": [[31, 51, "TEMP_EXP"]]}
We usually travel to the mountains in Winter.	{"entities": [[35, 44, "TEMP_EXP"]]}
The keyboard has backlit keys.	{"entities": []}
We’re targeting a release on the first Saturday after the leap day, at 5 PM.	{"entities": [[33, 75, "TEMP_EXP"]]}
The rent went up last month.	{"entities": [[17, 27, "TEMP_EXP"]]}
She arrived the day before yesterday.	{"entities": [[12, 36, "TEMP_EXP"]]}
The deadline is in exactly one week.	{"entities": [[16, 35, "TEMP_EXP"]]}
The rug has an intricate pattern.	{"entities": []}
By early July, the contract should be finalized.	{"entities": [[0, 13, "TEMP_EXP"]]}
Mid-December, we typically see an uptick in sales.	{"entities": [[0, 12, "TEMP_EXP"]]}
The building stands on a hill.	{"entities": []}
The poster hangs on the living room wall.	{"entities": []}
You’ll get the confirmation late tomorrow afternoon.	{"entities": [[28, 51, "TEMP_EXP"]]}
His advice appears practical.	{"entities": []}
By the start of next quarter, we’ll implement the changes.	{"entities": [[0, 28, "TEMP_EXP"]]}
The meeting falls on the second Monday of the following month.	{"entities": [[25, 61, "TEMP_EXP"]]}
In the middle of next week, I’ll be out of town.	{"entities": [[0, 26, "TEMP_EXP"]]}
The bookshelf is overflowing with novels.	{"entities": []}
The deal ends at 11:59 PM on the third Sunday of the current month.	{"entities": [[14, 66, "TEMP_EXP"]]}
I’ll be on vacation the end of July.	{"entities": [[24, 35, "TEMP_EXP"]]}
The movie was really cool.	{"entities": []}
The laptop case is waterproof.	{"entities": []}
He was baptized at 3 on the last Sunday of this month.	{"entities": [[16, 53, "TEMP_EXP"]]}
Our strategy session will happen on the third Tuesday of the month after next, right before lunch.	{"entities": [[40, 77, "TEMP_EXP"]]}
The campaign ended last Thursday evening.	{"entities": [[19, 40, "TEMP_EXP"]]}
The teacher explains concepts clearly.	{"entities": []}
You should hear from them by Tuesday.	{"entities": [[26, 36, "TEMP_EXP"]]}
Five minutes before midnight, the lights suddenly flickered.	{"entities": [[0, 28, "TEMP_EXP"]]}
We’ll hold the ceremony at dusk.	{"entities": [[24, 31, "TEMP_EXP"]]}
They got married on the 4th of May 2024.	{"entities": [[24, 39, "TEMP_EXP"]]}
The bracelet fits snugly around her wrist.	{"entities": []}
That castle was built 2 centuries ago.	{"entities": [[22, 37, "TEMP_EXP"]]}
We'll send the invites out at 4:30 PM the day before the announcement.	{"entities": [[27, 69, "TEMP_EXP"]]}
The contract renewal is due mid-next month.	{"entities": [[28, 42, "TEMP_EXP"]]}
The chef prepared a gourmet meal.	{"entities": []}
The morning check-in will be at 7:45 AM on the Monday of the last week of July.	{"entities": [[29, 78, "TEMP_EXP"]]}
The software update came last weekend.	{"entities": [[25, 37, "TEMP_EXP"]]}
The speakers produce rich bass.	{"entities": []}
We gather the penultimate Thursday before Thanksgiving.	{"entities": [[14, 54, "TEMP_EXP"]]}
I’ll remind you on the first of next month.	{"entities": [[19, 42, "TEMP_EXP"]]}
We'll follow up on the Tuesday right after the budget release.	{"entities": [[23, 61, "TEMP_EXP"]]}
Early this morning, the server went offline.	{"entities": [[0, 18, "TEMP_EXP"]]}
This upcoming weekend, we’re heading to the coast.	{"entities": [[0, 21, "TEMP_EXP"]]}
The chair feels very comfortable.	{"entities": []}
She’ll check in on the second Monday of next quarter.	{"entities": [[23, 52, "TEMP_EXP"]]}
The landscape is awe-inspiring.	{"entities": []}
You’ll receive a calendar invite the day after the third Wednesday in August, around 4 PM.	{"entities": [[33, 89, "TEMP_EXP"]]}
The deadline passed two hours ago.	{"entities": [[20, 33, "TEMP_EXP"]]}
We're traveling on the 21st of December.	{"entities": [[16, 39, "TEMP_EXP"]]}
Expect an alert after 10 PM on the final Sunday before the holiday break.	{"entities": [[16, 72, "TEMP_EXP"]]}
The dog enjoys fetching the ball.	{"entities": []}
He was here earlier today.	{"entities": [[12, 25, "TEMP_EXP"]]}
She’ll be back on the morning of the first Thursday in August.	{"entities": [[15, 61, "TEMP_EXP"]]}
The pillow has memory foam filling.	{"entities": []}
The window panes are double-glazed.	{"entities": []}
The exhibition runs through July.	{"entities": [[20, 32, "TEMP_EXP"]]}
The cat loves sleeping on the sofa.	{"entities": []}
The team lunch is scheduled for the first Friday after project kickoff, at 12:30 PM.	{"entities": [[36, 83, "TEMP_EXP"]]}
It all happened in the fall of 2012.	{"entities": [[16, 35, "TEMP_EXP"]]}
A moment ago, I got the alert.	{"entities": [[0, 12, "TEMP_EXP"]]}
The telescope offers a clear view of the stars.	{"entities": []}
The project launch is scheduled for next week.	{"entities": [[36, 45, "TEMP_EXP"]]}
The statue stands at the center of the plaza.	{"entities": []}
Back in 2015, we had a completely different strategy.	{"entities": [[5, 12, "TEMP_EXP"]]}
